original_text,processed_text,sentiment,confidence
Agar Trump ki policies pe bet loon to srf $ODFL hi khareedon. Kitna confident hun? Ye abhi muje nhi pata,Agar Trump ki policies pe bet loon srf $ ODFL hi khareedon . Kitna confident hun ? Ye abhi muje nhi pata,Positive,0.4939
@Trump_MemeC GtTcBUMfiRaPUCxWmkfpjPXtDq3EgLXqAKJU8oQqHjxU,GtTcBUMfiRaPUCxWmkfpjPXtDq3EgLXqAKJU8oQqHjxU,Neutral,0.0
Miley Cyrus Melania Trump 1 https://t.co/S9msJ5I2cg,Miley Cyrus Melania Trump 1,Neutral,0.0
@KAGAMEAL 1-Xafadadii weli hub ay sida mooryanta u boobto bay sugaysaa. 2-khatumo weli aqoonsi bay raadinaysa. 3-Cagdheertii xuduudka Ethiopia hala soo xidho bay leeyahiin. 3- mowlacii weli loo joojin maa buu leeyahay. 4-Idoorkuna ictiraafka Donald trump ,1-Xafadadii weli hub ay sida mooryanta u boobto bay sugaysaa . 2-khatumo weli aqoonsi bay raadinaysa . 3-Cagdheertii xuduudka Ethiopia hala soo xidho bay leeyahiin . 3- mowlacii weli loo joojin maa buu leeyahay . 4-Idoorkuna ictiraafka Donald trump,Neutral,0.0
Trump VS. Kamala Campaign https://t.co/ABnNesk3O0 via @YouTube,Trump VS. Kamala Campaign via,Neutral,0.0
@PapiTrumpo POPA TRUMP,POPA TRUMP,Neutral,0.0
@EndWokeness Trump - Netanyahu - Milei,Trump - Netanyahu - Milei,Neutral,0.0
@aewin86 Giliran tidak menguntungkan sok sokan anti amerika padahal mendapatkan pendidikan militer di Amerika adalah salah satu kebanggaan Prabowo sampai bilang bilang ke Trump minta pengakuan ,Giliran tidak menguntungkan sok sokan anti amerika padahal mendapatkan pendidikan militer di Amerika adalah salah satu kebanggaan Prabowo sampai bilang bilang ke Trump minta pengakuan,Neutral,0.0
Free MAZI NNAMDI KALU,Free MAZI NNAMDI KALU,Positive,0.5106
bissmillah 2025 vamonoss,bissmillah 2025 vamonoss,Neutral,0.0
@BraddrofliT Melania Trump,Melania Trump,Neutral,0.0
@Trump_MemeC DvMpgHduweKjRvWbDFL5mWnFwKSnpvSQNQPrEZwpGVYu,DvMpgHduweKjRvWbDFL5mWnFwKSnpvSQNQPrEZwpGVYu,Neutral,0.0
@RabinoGarmon ...Tribu de Dan Donald Trump ️ https://t.co/YrRj0QPNHH https://t.co/O0FGP8LbtI,... Tribu de Dan Donald Trump ️,Neutral,0.0
