full_text,username,label,original_text,processed_text,sentiment,confidence
@politvidchannel Tryna sabotage my guy Trump,Csob13,,@politvidchannel Tryna sabotage my guy Trump,tryna sabotag guy trump,Negative,0.9441437721252441
@OliFatouAisha @EricLDaugh It s about timing. Unfortunately since we have a very slim house majority Johnson is needed for now. If we get rid of Johnson now it will delay swearing in the new republicans and delay certifying Trump.,RivrSide32012,,@OliFatouAisha @EricLDaugh It s about timing. Unfortunately since we have a very slim house majority Johnson is needed for now. If we get rid of Johnson now it will delay swearing in the new republicans and delay certifying Trump.,time unfortun sinc slim hous major johnson need get rid johnson delay swear new republican delay certifi trump,Negative,0.9978694915771484
@STrimel Haha Kamala lost lol haha!!! Trump is president haha lol if Bills win superbowl by one point who are the champs? Haha ! Now go shave your head lol https://t.co/5L5BVjvm0S,Winning17Trump,,@STrimel Haha Kamala lost lol haha!!! Trump is president haha lol if Bills win superbowl by one point who are the champs? Haha ! Now go shave your head lol https://t.co/5L5BVjvm0S,haha kamala lost lol haha trump presid haha lol bill win superbowl one point champ haha go shave head lol,Negative,0.9601645469665527
@seanonolennon Cute couple! ,Trump_Hispanics,,@seanonolennon Cute couple! ,cute coupl,Positive,0.9998258948326111
Can someone explain to JoJo that Trump is going to bring the cost of goods down? https://t.co/yYNfngapz5,TheGeneral_0,,Can someone explain to JoJo that Trump is going to bring the cost of goods down? https://t.co/yYNfngapz5,someon explain jojo trump go bring cost good,Positive,0.949820876121521
@shannonazusa Couldn t agree more! I stand with President Trump JD Vance Elon and Vivek! Happy New Year! The best is yet to come ,RealSeq16,,@shannonazusa Couldn t agree more! I stand with President Trump JD Vance Elon and Vivek! Happy New Year! The best is yet to come ,agre stand presid trump jd vanc elon vivek happi new year best yet come,Positive,0.9990563988685608
I don't agree with the conclusion reached here. In what way does the success of SpaceX depend on foreign low-skilled tech workers? Trump has also stated we should seek to keep qualified graduates from US universities here. The key is admitting those that benefit the country.,swartz_ralph_c,,I don't agree with the conclusion reached here. In what way does the success of SpaceX depend on foreign low-skilled tech workers? Trump has also stated we should seek to keep qualified graduates from US universities here. The key is admitting those that benefit the country.,dont agre conclus reach way success spacex depend foreign lowskil tech worker trump also state seek keep qualifi graduat us univers key admit benefit countri,Negative,0.987708330154419
@ChrisDJackson You don t know Trump. Obviously.,MHeartsya,,@ChrisDJackson You don t know Trump. Obviously.,know trump obvious,Negative,0.9868609309196472
@CollinRugg Whoa,Donnie4Veterans,,@CollinRugg Whoa,whoa,Positive,0.7052441239356995
A young Steve McQueen,USATRUMPMAN1,,A young Steve McQueen,young steve mcqueen,Positive,0.9985828399658203
@RogerJStoneJr @TPUSA @TPAction_ @charliekirk11 @TeamTrump @TrumpWarRoom He is absolutely correct! If the GOP does not give President Trump his cabinet the MAGA people will deliver a catastrophic GOP voter turnout in two and again in four years. They beli,JeffBamBam6,,@RogerJStoneJr @TPUSA @TPAction_ @charliekirk11 @TeamTrump @TrumpWarRoom He is absolutely correct! If the GOP does not give President Trump his cabinet the MAGA people will deliver a catastrophic GOP voter turnout in two and again in four years. They beli,absolut correct gop give presid trump cabinet maga peopl deliv catastroph gop voter turnout two four year beli,Negative,0.9771086573600769
@thevivafrei Trump will pass on of natural causes in March of 2029.,OkNotThisTime,,@thevivafrei Trump will pass on of natural causes in March of 2029.,trump pass natur caus march 2029,Negative,0.9862751960754395
@TRUMP_ARMY_ Amen,LindaMarli28840,,@TRUMP_ARMY_ Amen,amen,Negative,0.8605920672416687
@POTUS Make sure Trump is in the jail house and not the White House!,minesce23,,@POTUS Make sure Trump is in the jail house and not the White House!,make sure trump jail hous white hous,Negative,0.9949100613594055
@swinnybottom @Anthony70520144 @runews Long live mother Russia 🇷🇺 long live putin,KingTrump88,,@swinnybottom @Anthony70520144 @runews Long live mother Russia 🇷🇺 long live putin,long live mother russia long live putin,Positive,0.9931951761245728
Really? I thought Trump was going to be the guru to 'save the economy' Sold some bad goods? Americans Predict Challenges in 2025 With a Few Bright Spots https://t.co/U3D3ypajRG,RickOceanMusic,,Really? I thought Trump was going to be the guru to 'save the economy' Sold some bad goods? Americans Predict Challenges in 2025 With a Few Bright Spots https://t.co/U3D3ypajRG,realli thought trump go guru save economi sold bad good american predict challeng 2025 bright spot,Negative,0.99608314037323
@PattieDP Journey ,2024UltraMAGA,,@PattieDP Journey ,journey,Positive,0.9981266856193542
Realize Trump was gracious in his condolences because he has class. The Americans clearly know &amp,,,Realize Trump was gracious in his condolences because he has class. The Americans clearly know &amp,realiz trump graciou condol class american clearli know amp,Positive,0.9548210501670837
@Capsizing__ @LakeShowYo @DanWoikeSports @BenjayCreates its always the trumpers. they say this then buy Trump bibles colognes etc,RJP757,,@Capsizing__ @LakeShowYo @DanWoikeSports @BenjayCreates its always the trumpers. they say this then buy Trump bibles colognes etc,alway trumper say buy trump bibl cologn etc,Negative,0.992416501045227
DON T. FORGET. THAT. TRUMP. IS RESPONSIBLE. FOR. THIS. !!!,FrWulff,,DON T. FORGET. THAT. TRUMP. IS RESPONSIBLE. FOR. THIS. !!!,forget trump respons,Negative,0.9793021082878113
